title,url,type,lot,sale,date,location,currency,price,estimate_min,estimate_max,provenance,signature,technique,height,width,production_date,price_EUR,estimate_min_EUR,estimate_max_EUR,area,support,sale_title,sale_price,sale_price_EUR,prediction,general_technique,theme
plage à marée basse,https://www.christies.com/lotfinder/drawings-watercolors/edgar-degas-plage-a-maree-basse-5147426-details.aspx,dibujo-acuarela,3,5590,2008-12-01,Paris,EUR,169000,150000,250000,"Atelier de l'artiste; IVeme vente, Galerie Georges Petit, Paris, 2-4 juillet 1919, lot 59a.",sello,pastel,31.4,46.3,1869,169000,150000,250000,1453.82,papel,Collection Jeanne Lanvin Fondations Polignac Kerjean et Forteresse de Polignac,7674050,7674050,correcta,pastel,paisaje
groupe de danseuses,https://www.christies.com/lotfinder/drawings-watercolors/edgar-degas-groupe-de-danseuses-5147444-details.aspx,dibujo-acuarela,21,5590,2008-12-01,Paris,EUR,247000,200000,300000,Atelier de l'artiste.,sello,"pastel, lápiz y sanguina",32.4,41,1893,247000,200000,300000,1328.3999999999999,papel,Collection Jeanne Lanvin Fondations Polignac Kerjean et Forteresse de Polignac,7674050,7674050,correcta,pastel,bailarina
danseuses au repos,https://www.christies.com/lotfinder/drawings-watercolors/edgar-degas-danseuses-au-repos-5097816-details.aspx,dibujo-acuarela,265,7601,2008-06-25,London,GBP,481250,200000,300000,"The artist's estate; 3rd sale, Galerie Georges Petit, 7-9 April 1919, lot 410 (illustrated p. 290; titled 'Deux danseuses au repos').",sello,pastel,78.1,63.8,1898,539000,224000.00000000003,336000.00000000006,4982.78,papel,Impressionist and Modern Works on Paper,6129900,6865488.000000001,menor,pastel,bailarina
le discobole (recto and verso) ...,https://www.christies.com/lotfinder/drawings-watercolors/edgar-degas-le-discobole-5097894-details.aspx,dibujo-acuarela,344,7601,2008-06-25,London,GBP,13750,10000,15000,"Jean Nepveu-Degas, Paris, by descent from the artist; his sale, Hôtel Drouot, Paris, 6 May 1976, lot 71.",sello,lápiz,37.9,26.5,1857,15400.000000000002,11200.000000000002,16800,1004.3499999999999,papel,Impressionist and Modern Works on Paper,6129900,6865488.000000001,correcta,"resto",estudio/copia
portrait d'homme,https://www.christies.com/lotfinder/paintings/edgar-degas-portrait-dhomme-5099995-details.aspx,pintura,8,7599,2008-06-24,London,GBP,481250,250000,350000,The artist's studio.,NA,óleo,40.8,32.7,1870,539000,280000,392000.00000000006,1334.16,lienzo,Impressionist  and Modern Art  Evening Sale,144440500,161773360.00000003,menor,óleo,retrato
danseuses à la barre,https://www.christies.com/lotfinder/drawings-watercolors/edgar-degas-danseuses-a-la-barre-5099996-details.aspx,dibujo-acuarela,9,7599,2008-06-24,London,GBP,13481250,4000000,6000000,"Mr and Mrs H.O. Havemeyer, New York.",firma,"pastel, gouache y carboncillo",65.8,50.7,1880,15099000.000000002,4480000,6720000.000000001,3336.06,papel,Impressionist  and Modern Art  Evening Sale,144440500,161773360.00000003,menor,pastel,bailarina
"trois danseuses (jupes jaunes, ...",https://www.christies.com/lotfinder/drawings-watercolors/edgar-degas-trois-danseuses-5100040-details.aspx,dibujo-acuarela,53,7599,2008-06-24,London,GBP,3961250,2800000,3500000,"The artist's studio; first sale, Galerie Georges Petit, Paris, 6 March 1918, lot 245.",sello,pastel y carboncillo,56.2,50.8,1896,4436600,3136000.0000000005,3920000.0000000005,2854.96,papel,Impressionist  and Modern Art  Evening Sale,144440500,161773360.00000003,menor,pastel,bailarina
amazone à cheval,https://www.christies.com/lotfinder/paintings/edgar-degas-amazone-a-cheval-5084650-details.aspx,pintura,277,2508,2008-05-26,"Milan",EUR,14060,8000,12000,Studio dell'artista,sello,lápiz,25.5,17.8,1867,14060,8000,12000,453.90000000000003,papel,Post War and Contemporary Art,10659184,10659184,menor,"resto",hípica
etude de danseuse,https://www.christies.com/lotfinder/drawings-watercolors/edgar-degas-etude-de-danseuse-5068461-details.aspx,dibujo-acuarela,102,1996,2008-05-07,New York,USD,58600,25000,35000,"Estate of the artist; Fourth Sale, Galerie Georges Petit, Paris, 2-4 July 1919, lot 286.",sello,carboncillo,29.9,22.9,1885,51568,22000,30800,684.7099999999999,papel,Impressionist And Modern Works On Paper,16695550,14692084,menor,"resto",bailarina
aprés le bain (femme nue),https://www.christies.com/lotfinder/drawings-watercolors/edgar-degas-apres-le-bain-5068485-details.aspx,dibujo-acuarela,126,1996,2008-05-07,New York,USD,241000,200000,300000,"Estate of the artist; Second Sale, Galerie Georges Petit, Paris, 11-13 December 1918, lot 273.",sello,carboncillo,47.6,43.8,NA,212080,176000,264000,2084.88,papel,Impressionist And Modern Works On Paper,16695550,14692084,correcta,"resto",mujer
trois danseuses,https://www.christies.com/lotfinder/drawings-watercolors/edgar-degas-trois-danseuses-5075585-details.aspx,dibujo-acuarela,22,1994,2008-05-06,New York,USD,4297000,4500000,6500000,"Estate of the artist; first sale, Galerie Georges Petit, Paris, 6-8 May 1918, lot 227.",sello,pastel,65.4,65.4,1899,3781360,3960000,5720000,4277.160000000001,papel,Impressionist And Modern Art  Evening Sale,277276000,244002880,mayor,pastel,bailarina
danseuse au tambourin,https://www.christies.com/lotfinder/paintings/edgar-degas-danseuse-au-tambourin-5075588-details.aspx,pintura,25,1994,2008-05-06,New York,USD,1161000,700000,900000,"Hans Weidenbusch, Wiesbaden; sale, Lucerne, 5 June 1899, lot 8.",sello,óleo,32.7,40.3,1897,1021680,616000,792000,1317.81,lienzo,Impressionist And Modern Art  Evening Sale,277276000,244002880,menor,óleo,bailarina
femme à sa toilette,https://www.christies.com/lotfinder/drawings-watercolors/edgar-degas-femme-a-sa-toilette-5037069-details.aspx,dibujo-acuarela,80,7562,2008-02-04,London,GBP,300500,300000,400000,"The artist's studio; second sale, Galerie Georges Petit, Paris, 11-13 December 1918, lot 77 (illustrated pl. 44).",sello,pastel y carboncillo,65.1,50.1,1890,336560.00000000006,336000.00000000006,448000.00000000006,3261.5099999999998,papel,Impressionist and Modern Art Evening Sale,92793600,103928832.00000001,correcta,pastel,mujer
petite danseuse,https://www.christies.com/lotfinder/drawings-watercolors/edgar-degas-petite-danseuse-5019781-details.aspx,dibujo-acuarela,3,5485,2007-12-03,Paris,EUR,246250,60000,80000,"Atelier de l'artiste, IIème vente, Galerie Georges Petit, Paris, 11- 13 décembre 1918, lot 312.",sello,carboncillo y tiza blanca,40.9,29.9,1875,246250,60000,80000,1222.9099999999999,papel,Art Impressionniste et Moderne,14257405,14257405,menor,"resto",bailarina
tête de jeune femme de face,https://www.christies.com/lotfinder/paintings/edgar-degas-tete-de-jeune-femme-de-5019819-details.aspx,pintura,41,5485,2007-12-03,Paris,EUR,252250,200000,300000,"Atelier de l'artiste, IIème vente, Galerie Georges Petit, 11-13 décembre 1918, lot 41.",firma,óleo,34.9,28.7,1899,252250,200000,300000,1001.6299999999999,papel,Art Impressionniste et Moderne,14257405,14257405,correcta,óleo,mujer
cavalier,https://www.christies.com/lotfinder/drawings-watercolors/edgar-degas-cavalier-5019821-details.aspx,dibujo-acuarela,43,5485,2007-12-03,Paris,EUR,48250,40000,60000,"Atelier de l'artiste, IVème vente, Galerie Georges Petit, Paris, 7-9 avril 1919, lot 259c.",sello,carboncillo,30.5,21.8,1895,48250,40000,60000,664.9,papel,Art Impressionniste et Moderne,14257405,14257405,correcta,"resto",hípica
danseuse--six croquis,https://www.christies.com/lotfinder/paintings/edgar-degas-danseuse-six-croquis-4987162-details.aspx,pintura,116,1902,2007-11-07,New York,USD,97000,100000,150000,"Estate of the artist; Fourth Sale, Galerie Georges Petit, Paris, 2-4 July 1919, lot 181.",sello,carboncillo,46,59.7,NA,85360,88000,132000,2746.2000000000003,papel,Impressionist and Modern Works on Paper,20978050,18460684,mayor,"resto",bailarina
"femme debout et vue de face, ag...",https://www.christies.com/lotfinder/paintings/edgar-degas-femme-debout-et-vue-de-4983582-details.aspx,pintura,16,1900,2007-11-06,New York,USD,1609000,1400000,1800000,"Estate of the artist; Second sale, Galerie Georges Petit, Paris, 11-13 December, 1918, lot 22.",sello,óleo,89.5,53.4,1883,1415920,1232000,1584000,4779.3,lienzo,Impressionist and Modern Art Evening Sale,394977200,347579936,correcta,óleo,mujer
deux italiennes,https://www.christies.com/lotfinder/drawings-watercolors/edgar-degas-deux-italiennes-4954661-details.aspx,dibujo-acuarela,37,1874,2007-09-12,New York,USD,25000,10000,15000,"Roland Nepveu-Degas, Paris.",sello,lápiz,27.9,44.1,NA,22000,8800,13200,1230.3899999999999,papel,Impressionist and Modern Art,4013275,3531682,menor,"resto",costumbrista
femme à sa toilette,https://www.christies.com/lotfinder/paintings/edgar-degas-femme-a-sa-toilette-4935377-details.aspx,pintura,4,7404,2007-06-18,London,GBP,1700000,1400000,1800000,"The artist's studio; first sale, Galerie Georges Petit, Paris, 11-13 December 1918, lot 141 (illustrated p. 79).",sello,pastel,63,48,1892,1904000.0000000002,1568000.0000000002,2016000.0000000002,3024,papel,Impressionist and Modern Art  (Evening Sale),121127200,135662464,correcta,pastel,mujer
